epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,326.898,1.69201,2.09597,1.78101,0.46317,0.64978,0.49066,0.20695,1.56851,1.46525,1.97309,0.0021684,0.0021684,0.0021684
44,334.226,1.72583,2.03254,1.78903,0.84118,0.375,0.40205,0.14892,1.67238,1.63648,2.10781,0.0021486,0.0021486,0.0021486
45,341.577,1.72112,2.0492,1.77081,0.29973,0.63012,0.42655,0.2035,1.34362,1.38768,1.81116,0.0021288,0.0021288,0.0021288
46,348.851,1.71673,2.19488,1.74912,0.51372,0.49301,0.48179,0.22764,1.48869,1.69158,1.79179,0.002109,0.002109,0.002109
47,356.104,1.68289,2.13435,1.74933,0.38202,0.65814,0.51569,0.23363,1.44958,1.46248,1.77857,0.0020892,0.0020892,0.0020892
48,363.381,1.72977,2.15222,1.76894,0.30617,0.38889,0.39986,0.18922,1.50712,1.48602,1.83011,0.0020694,0.0020694,0.0020694
49,370.654,1.68266,2.09327,1.75902,0.60021,0.73611,0.58958,0.26716,1.38725,1.27848,1.77228,0.0020496,0.0020496,0.0020496
50,377.936,1.63831,2.1135,1.70841,0.49206,0.53472,0.47642,0.22933,1.64022,1.40998,1.89643,0.0020298,0.0020298,0.0020298
51,385.276,1.67428,2.24312,1.72044,0.64778,0.51277,0.60755,0.26126,1.33859,1.32541,1.70305,0.00201,0.00201,0.00201
52,392.622,1.60787,2.03663,1.69963,0.62873,0.53472,0.51199,0.26029,1.34022,1.29679,1.74009,0.0019902,0.0019902,0.0019902
53,399.905,1.66526,2.00557,1.72551,0.47558,0.51793,0.4867,0.22346,1.64842,2.07233,1.95513,0.0019704,0.0019704,0.0019704
54,407.176,1.61126,1.95541,1.69702,0.57407,0.43056,0.47859,0.24139,1.34512,1.40228,1.77953,0.0019506,0.0019506,0.0019506
55,414.442,1.65597,2.01801,1.73144,0.62721,0.58333,0.54448,0.27149,1.24949,1.63187,1.69681,0.0019308,0.0019308,0.0019308
56,421.706,1.66952,2.10935,1.71747,0.35156,0.36111,0.46809,0.23272,1.33185,1.25784,1.70828,0.001911,0.001911,0.001911
57,428.991,1.69028,2.10722,1.75108,0.96402,0.35827,0.54827,0.26628,1.23764,1.18321,1.65606,0.0018912,0.0018912,0.0018912
58,436.297,1.68511,2.11448,1.75766,0.64336,0.57051,0.56838,0.27394,1.33144,1.33948,1.7022,0.0018714,0.0018714,0.0018714
59,443.562,1.63499,1.96214,1.72239,0.60369,0.52083,0.59556,0.29197,1.53852,1.58491,1.81436,0.0018516,0.0018516,0.0018516
60,450.888,1.5958,1.95485,1.71607,0.57505,0.5,0.52294,0.25659,1.50499,1.31857,1.858,0.0018318,0.0018318,0.0018318
61,458.181,1.64147,2.05482,1.78167,0.48037,0.54167,0.55418,0.26048,1.4145,1.22577,1.82274,0.001812,0.001812,0.001812
62,465.449,1.62216,1.92165,1.71202,0.46397,0.56944,0.59546,0.27586,1.33197,1.17983,1.76038,0.0017922,0.0017922,0.0017922
63,472.72,1.58116,1.89337,1.65595,0.39858,0.6564,0.53807,0.26794,1.22983,1.19913,1.67831,0.0017724,0.0017724,0.0017724
64,479.995,1.63204,2.07291,1.67475,0.38699,0.625,0.45816,0.2444,1.22826,1.51459,1.64593,0.0017526,0.0017526,0.0017526
65,487.25,1.62984,1.93394,1.66716,0.46962,0.61806,0.53866,0.26376,1.3972,1.3695,1.73731,0.0017328,0.0017328,0.0017328
66,494.583,1.66305,1.94714,1.75957,0.71785,0.55136,0.5988,0.32789,1.27427,1.25421,1.66335,0.001713,0.001713,0.001713
67,501.881,1.56709,1.92556,1.67024,0.62423,0.67993,0.66151,0.27138,1.36555,1.32903,1.72156,0.0016932,0.0016932,0.0016932
68,509.177,1.68136,1.96376,1.72335,0.55472,0.63889,0.64267,0.37587,1.35606,1.42235,1.69661,0.0016734,0.0016734,0.0016734
69,516.436,1.61293,1.9523,1.68419,0.59183,0.83063,0.70344,0.30543,1.3794,1.19116,1.76239,0.0016536,0.0016536,0.0016536
70,523.696,1.59573,1.88717,1.71657,0.51038,0.74306,0.62958,0.34871,1.25836,1.16082,1.65532,0.0016338,0.0016338,0.0016338
71,530.97,1.61249,1.89377,1.73725,0.54159,0.73309,0.65829,0.32803,1.17674,1.18694,1.64919,0.001614,0.001614,0.001614
72,538.246,1.57847,1.93167,1.70268,0.66081,0.52083,0.59403,0.31063,1.23977,1.25554,1.68047,0.0015942,0.0015942,0.0015942
73,545.516,1.5504,1.81404,1.66346,0.76041,0.61123,0.70651,0.39659,1.10724,1.09061,1.64337,0.0015744,0.0015744,0.0015744
74,552.805,1.60541,1.91778,1.71276,0.66942,0.65972,0.65974,0.3659,1.19105,1.02174,1.67166,0.0015546,0.0015546,0.0015546
75,560.07,1.51421,1.77681,1.63357,0.61198,0.57639,0.57743,0.33887,1.12231,1.33775,1.59139,0.0015348,0.0015348,0.0015348
76,567.394,1.61518,1.93673,1.68662,0.73487,0.48611,0.58476,0.29606,1.31729,1.27119,1.66077,0.001515,0.001515,0.001515
77,574.721,1.59882,1.96809,1.75072,0.59966,0.65278,0.70243,0.3485,1.1215,1.18098,1.59278,0.0014952,0.0014952,0.0014952
78,582.057,1.59334,1.88723,1.71874,0.7665,0.59755,0.7169,0.32445,1.20948,1.2099,1.6155,0.0014754,0.0014754,0.0014754
79,589.33,1.56718,1.79188,1.64016,0.60094,0.79649,0.7059,0.37621,1.22658,1.19048,1.63057,0.0014556,0.0014556,0.0014556
80,596.656,1.57323,1.80133,1.64865,0.7116,0.68697,0.72249,0.40808,1.20845,1.10208,1.61963,0.0014358,0.0014358,0.0014358
81,603.923,1.54038,1.77926,1.6511,0.67341,0.77083,0.68565,0.37091,1.21057,1.05311,1.6269,0.001416,0.001416,0.001416
82,611.199,1.52583,1.70314,1.67884,0.62423,0.60108,0.65022,0.31621,1.21891,1.04854,1.67525,0.0013962,0.0013962,0.0013962
83,618.462,1.60723,1.82606,1.7395,0.49452,0.61806,0.57152,0.29245,1.38304,1.10771,1.74546,0.0013764,0.0013764,0.0013764
84,625.725,1.59933,1.78064,1.69781,0.7091,0.65278,0.72115,0.38195,1.20766,1.0298,1.65663,0.0013566,0.0013566,0.0013566
85,632.985,1.50461,1.80204,1.6239,0.92351,0.61884,0.80209,0.41932,1.26693,1.05145,1.66676,0.0013368,0.0013368,0.0013368
86,640.341,1.52898,1.81549,1.60969,0.55359,0.78472,0.6792,0.37275,1.18955,1.03116,1.61861,0.001317,0.001317,0.001317
87,647.626,1.50539,1.58322,1.60566,0.71096,0.61806,0.72508,0.39065,1.15805,1.00654,1.61206,0.0012972,0.0012972,0.0012972
88,654.913,1.52029,1.86315,1.64655,0.63789,0.76258,0.70943,0.40896,1.17315,1.093,1.61144,0.0012774,0.0012774,0.0012774
89,662.188,1.46482,1.68605,1.58194,0.63474,0.69394,0.60514,0.32963,1.20964,1.10346,1.63833,0.0012576,0.0012576,0.0012576
90,669.463,1.53356,1.79264,1.65418,0.72249,0.73649,0.80116,0.46155,1.08824,1.12382,1.57404,0.0012378,0.0012378,0.0012378
91,676.741,1.54753,1.75461,1.64445,0.65967,0.77511,0.77324,0.46988,1.10633,1.03265,1.58415,0.001218,0.001218,0.001218
92,684.018,1.51039,1.74888,1.65105,0.68749,0.7239,0.79476,0.46628,1.17269,0.98842,1.6078,0.0011982,0.0011982,0.0011982
93,691.284,1.47682,1.60485,1.57554,0.72758,0.69444,0.74294,0.47802,1.11158,1.00107,1.56097,0.0011784,0.0011784,0.0011784
94,698.559,1.49939,1.70049,1.59741,0.61495,0.72917,0.69496,0.38993,1.04837,0.98512,1.5464,0.0011586,0.0011586,0.0011586
95,705.87,1.46643,1.61905,1.57884,0.75503,0.6197,0.72926,0.4253,1.07922,1.029,1.56971,0.0011388,0.0011388,0.0011388
96,713.21,1.43279,1.5693,1.5795,0.62285,0.6875,0.6993,0.40359,1.15455,1.03957,1.59906,0.001119,0.001119,0.001119
97,720.541,1.42352,1.52822,1.57357,0.85215,0.5,0.66918,0.39698,1.21112,1.07505,1.61368,0.0010992,0.0010992,0.0010992
98,727.833,1.44471,1.62121,1.57706,0.65259,0.70833,0.68525,0.41451,1.07419,1.02356,1.56902,0.0010794,0.0010794,0.0010794
99,735.11,1.42033,1.57088,1.57006,0.60046,0.82129,0.67078,0.39585,1.04871,1.24278,1.54902,0.0010596,0.0010596,0.0010596
100,742.391,1.47609,1.73284,1.60401,0.81009,0.69406,0.74728,0.46478,1.04795,0.94585,1.5584,0.0010398,0.0010398,0.0010398
101,749.673,1.44065,1.71865,1.56281,0.74241,0.6512,0.74062,0.49004,1.03005,0.94762,1.55233,0.00102,0.00102,0.00102
102,756.937,1.44669,1.68562,1.58612,0.75361,0.72717,0.7777,0.49537,1.08069,1.03007,1.5569,0.0010002,0.0010002,0.0010002
103,764.241,1.42456,1.5476,1.59181,0.73886,0.69444,0.75549,0.4951,1.07991,0.97194,1.56,0.0009804,0.0009804,0.0009804
104,771.524,1.40593,1.5881,1.57628,0.68111,0.72331,0.74956,0.46279,1.00516,0.90434,1.5272,0.0009606,0.0009606,0.0009606
105,778.815,1.44023,1.56146,1.59852,0.50548,0.78472,0.73284,0.42557,1.04908,0.89709,1.54066,0.0009408,0.0009408,0.0009408
106,786.097,1.44888,1.54445,1.61614,0.7063,0.72222,0.82127,0.50913,1.04019,0.88375,1.55281,0.000921,0.000921,0.000921
107,793.379,1.41947,1.55461,1.57169,0.59,0.77083,0.68805,0.38239,1.25209,0.96856,1.63921,0.0009012,0.0009012,0.0009012
108,800.632,1.40769,1.52661,1.54725,0.76383,0.68277,0.75571,0.48179,0.98884,0.91568,1.52722,0.0008814,0.0008814,0.0008814
109,807.913,1.42461,1.54873,1.58469,0.5611,0.83333,0.75189,0.45108,1.28859,0.94987,1.68019,0.0008616,0.0008616,0.0008616
110,815.16,1.42815,1.59802,1.6085,0.80997,0.77905,0.86078,0.50824,1.02201,0.8762,1.51744,0.0008418,0.0008418,0.0008418
111,822.447,1.42618,1.60631,1.62417,0.87741,0.70324,0.82666,0.52449,0.96317,0.93189,1.51361,0.000822,0.000822,0.000822
112,829.753,1.40929,1.39677,1.56271,0.68385,0.7081,0.74506,0.49046,1.16352,0.92771,1.57995,0.0008022,0.0008022,0.0008022
113,837.001,1.40824,1.51035,1.58512,0.75981,0.67974,0.7436,0.46965,1.12627,0.87373,1.59862,0.0007824,0.0007824,0.0007824
114,844.248,1.36009,1.45205,1.54824,0.95582,0.69444,0.87139,0.56185,1.08992,0.81772,1.55809,0.0007626,0.0007626,0.0007626
115,851.54,1.42872,1.43966,1.61002,0.82488,0.79467,0.8878,0.56759,1.01315,0.83089,1.50804,0.0007428,0.0007428,0.0007428
116,858.818,1.36949,1.47535,1.53074,0.96826,0.76812,0.8888,0.55464,1.04706,0.83904,1.52373,0.000723,0.000723,0.000723
117,866.115,1.45069,1.52744,1.57441,0.78051,0.83333,0.87759,0.58217,0.96353,0.83894,1.49525,0.0007032,0.0007032,0.0007032
118,873.381,1.27212,1.35695,1.50395,0.79657,0.81944,0.83587,0.54626,0.91201,0.86332,1.48564,0.0006834,0.0006834,0.0006834
119,880.632,1.3644,1.45381,1.55355,0.89213,0.76386,0.86363,0.55252,0.92195,0.8403,1.48692,0.0006636,0.0006636,0.0006636
120,887.904,1.37162,1.47574,1.56229,0.81727,0.79839,0.87444,0.56896,0.95849,0.79511,1.49688,0.0006438,0.0006438,0.0006438
121,895.181,1.37531,1.43785,1.55202,0.9415,0.75056,0.90521,0.56469,0.97568,0.81095,1.50127,0.000624,0.000624,0.000624
122,902.435,1.37936,1.47449,1.55764,0.87724,0.76965,0.92075,0.57462,0.95447,0.77207,1.50938,0.0006042,0.0006042,0.0006042
123,909.724,1.35937,1.48419,1.51072,0.976,0.70333,0.87423,0.58402,1.09584,0.79925,1.51371,0.0005844,0.0005844,0.0005844
124,917.03,1.3829,1.36424,1.50988,0.94022,0.79582,0.94762,0.59479,0.97985,0.76241,1.48302,0.0005646,0.0005646,0.0005646
125,924.287,1.30669,1.37733,1.48286,0.88014,0.95305,0.94651,0.57205,0.96438,0.7811,1.47112,0.0005448,0.0005448,0.0005448
126,931.549,1.40183,1.42299,1.54549,0.90168,0.75674,0.92409,0.61367,0.9445,0.79435,1.44575,0.000525,0.000525,0.000525
127,938.829,1.34234,1.33306,1.5278,0.81994,0.95833,0.93292,0.58056,0.86621,0.76181,1.437,0.0005052,0.0005052,0.0005052
128,946.1,1.29058,1.29433,1.47625,0.84694,0.87382,0.89721,0.55441,0.98025,0.74847,1.46656,0.0004854,0.0004854,0.0004854
129,953.369,1.3458,1.4299,1.48442,0.79986,0.83333,0.87578,0.55452,0.93989,0.73807,1.45406,0.0004656,0.0004656,0.0004656
130,960.657,1.39414,1.43778,1.55519,0.7873,0.80207,0.85692,0.55407,0.94411,0.73935,1.45062,0.0004458,0.0004458,0.0004458
131,967.953,1.30654,1.33658,1.50622,0.81668,0.89583,0.84913,0.55637,0.95212,0.73519,1.46245,0.000426,0.000426,0.000426
132,975.228,1.25943,1.34742,1.51508,0.83639,0.89583,0.87702,0.57258,0.88714,0.74105,1.45547,0.0004062,0.0004062,0.0004062
133,982.504,1.33327,1.34245,1.53173,0.89005,0.83333,0.90717,0.62072,0.88071,0.72857,1.43571,0.0003864,0.0003864,0.0003864
134,989.81,1.35363,1.46236,1.52138,0.88717,0.77083,0.92492,0.62488,0.81846,0.70792,1.41679,0.0003666,0.0003666,0.0003666
135,997.08,1.31428,1.30634,1.51137,0.93577,0.86944,0.95652,0.65653,0.79547,0.70134,1.41023,0.0003468,0.0003468,0.0003468
136,1004.36,1.31041,1.38611,1.52007,0.90107,0.83949,0.96303,0.65315,0.79448,0.71263,1.40642,0.000327,0.000327,0.000327
