epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,605.144,1.8279,2.45189,1.99835,0.38839,0.52449,0.54137,0.26337,1.55614,1.52301,2.04193,0.0021882,0.0021882,0.0021882
43,619.062,1.76011,2.41939,1.94252,0.40749,0.5,0.49892,0.23951,1.53496,1.55712,1.99584,0.0021684,0.0021684,0.0021684
44,632.731,1.81342,2.39499,1.97568,0.89,0.23611,0.44847,0.18507,1.48827,1.85221,1.97451,0.0021486,0.0021486,0.0021486
45,646.376,1.76691,2.31639,1.89486,0.3667,0.70833,0.57836,0.24636,1.45759,1.53837,2.00521,0.0021288,0.0021288,0.0021288
46,659.999,1.87035,2.42834,1.93919,0.37272,0.50694,0.42153,0.18367,1.51057,1.71278,2.03731,0.002109,0.002109,0.002109
47,673.606,1.72572,2.41379,1.92395,0.8169,0.36111,0.39771,0.18746,1.52858,1.49563,2.02731,0.0020892,0.0020892,0.0020892
48,687.278,1.74631,2.32841,1.90723,0.32827,0.54167,0.51887,0.22656,1.47117,1.45455,2.01185,0.0020694,0.0020694,0.0020694
49,700.896,1.77889,2.30969,1.91987,0.32084,0.58333,0.41254,0.2128,1.49865,1.62265,1.98012,0.0020496,0.0020496,0.0020496
50,714.549,1.76762,2.31147,1.91756,0.42671,0.52464,0.45423,0.23203,1.53499,1.76025,2.00275,0.0020298,0.0020298,0.0020298
51,728.156,1.79372,2.46193,1.96248,0.41897,0.70833,0.6172,0.26795,1.45562,1.32786,1.98511,0.00201,0.00201,0.00201
52,741.97,1.76175,2.35136,1.8875,0.36017,0.52072,0.46298,0.23475,1.4469,1.47784,2.00191,0.0019902,0.0019902,0.0019902
53,755.557,1.74309,2.27039,1.91377,0.39174,0.47917,0.47559,0.23617,1.43053,1.38283,1.96969,0.0019704,0.0019704,0.0019704
54,769.144,1.72468,2.16277,1.87529,0.35259,0.61806,0.52665,0.2278,1.5228,1.54909,2.02917,0.0019506,0.0019506,0.0019506
55,782.722,1.7319,2.1792,1.93201,0.48506,0.61092,0.55044,0.23958,1.48457,1.4496,2.01791,0.0019308,0.0019308,0.0019308
56,796.427,1.7682,2.26225,1.93359,0.49582,0.68383,0.6219,0.27802,1.4313,1.27134,1.96938,0.001911,0.001911,0.001911
57,810.254,1.69451,2.32329,1.87408,0.37522,0.39583,0.43644,0.22086,1.48204,1.62574,2.0047,0.0018912,0.0018912,0.0018912
58,823.813,1.76406,2.31158,1.93819,0.47714,0.5,0.49985,0.25638,1.40536,1.43551,1.95175,0.0018714,0.0018714,0.0018714
59,837.356,1.64533,2.29544,1.8383,0.4636,0.43056,0.46148,0.23288,1.48022,1.65011,1.99328,0.0018516,0.0018516,0.0018516
60,850.99,1.68551,2.22365,1.84899,0.51152,0.40972,0.50389,0.22618,1.49138,1.4989,2.022,0.0018318,0.0018318,0.0018318
61,864.614,1.66484,2.25448,1.87333,0.51192,0.54861,0.59302,0.26764,1.4437,1.48213,1.96855,0.001812,0.001812,0.001812
62,878.2,1.75539,2.19381,1.90811,0.44427,0.67827,0.61513,0.28361,1.46082,1.4403,1.93776,0.0017922,0.0017922,0.0017922
63,891.963,1.68383,2.28169,1.80801,0.2848,0.54167,0.47534,0.25064,1.45036,1.46295,1.93751,0.0017724,0.0017724,0.0017724
64,905.576,1.67962,2.27707,1.81924,0.89906,0.36111,0.4866,0.2575,1.41951,1.37303,1.94336,0.0017526,0.0017526,0.0017526
65,919.151,1.734,2.07534,1.84607,0.5221,0.71528,0.56846,0.26355,1.42743,1.37757,1.94644,0.0017328,0.0017328,0.0017328
66,932.801,1.71789,2.04682,1.90181,0.51393,0.57639,0.54127,0.28399,1.3547,1.35095,1.90113,0.001713,0.001713,0.001713
67,946.391,1.67397,2.0528,1.85885,0.40566,0.70641,0.61049,0.31098,1.3348,1.27774,1.88323,0.0016932,0.0016932,0.0016932
68,960.672,1.70952,2.19493,1.83185,0.75522,0.63889,0.71134,0.3407,1.3759,1.22599,1.89699,0.0016734,0.0016734,0.0016734
69,975.203,1.63463,2.05438,1.82977,0.62523,0.66152,0.633,0.3115,1.35729,1.29354,1.9196,0.0016536,0.0016536,0.0016536
70,989.257,1.66255,2.23262,1.86555,0.4496,0.60417,0.53508,0.28122,1.39941,1.34479,1.96777,0.0016338,0.0016338,0.0016338
71,1003.25,1.7878,2.28119,1.95866,0.69506,0.70206,0.79355,0.35511,1.36516,1.2405,1.91323,0.001614,0.001614,0.001614
72,1017.79,1.69528,2.1433,1.93169,0.44621,0.71579,0.65566,0.32622,1.36044,1.21848,1.90451,0.0015942,0.0015942,0.0015942
73,1032.1,1.64394,1.99452,1.84033,0.47653,0.64583,0.60007,0.28403,1.38019,1.21736,1.93108,0.0015744,0.0015744,0.0015744
74,1046.55,1.66017,2.11548,1.82857,0.57618,0.70833,0.76249,0.349,1.33793,1.24447,1.89196,0.0015546,0.0015546,0.0015546
75,1060.53,1.63468,1.97752,1.78954,0.66617,0.66394,0.7338,0.32474,1.31608,1.22105,1.8726,0.0015348,0.0015348,0.0015348
76,1074.69,1.66264,2.1766,1.82904,0.88623,0.52778,0.69578,0.31317,1.34085,1.28946,1.90217,0.001515,0.001515,0.001515
77,1088.71,1.72183,2.28885,1.94828,0.67418,0.56944,0.64949,0.326,1.32801,1.30222,1.86993,0.0014952,0.0014952,0.0014952
78,1102.74,1.64572,2.17377,1.85871,0.64232,0.59722,0.64179,0.3159,1.37402,1.30173,1.91865,0.0014754,0.0014754,0.0014754
79,1116.86,1.63004,2.04593,1.82903,0.80334,0.40278,0.60692,0.3097,1.36788,1.29161,1.89796,0.0014556,0.0014556,0.0014556
80,1130.96,1.66356,2.00776,1.83212,0.38045,0.56944,0.54273,0.2658,1.39729,1.31437,1.93327,0.0014358,0.0014358,0.0014358
81,1145.05,1.64095,2.03591,1.85342,0.36153,0.55556,0.47681,0.26217,1.34727,1.30473,1.8954,0.001416,0.001416,0.001416
82,1159.05,1.58349,1.90882,1.8021,0.58648,0.61486,0.56178,0.25761,1.39843,1.3157,1.93089,0.0013962,0.0013962,0.0013962
83,1173.24,1.66189,2.08355,1.83639,0.4857,0.49253,0.49951,0.26735,1.47905,1.51841,1.99454,0.0013764,0.0013764,0.0013764
84,1187.39,1.69143,2.01276,1.85938,0.38875,0.64583,0.56819,0.27829,1.34765,1.29931,1.87856,0.0013566,0.0013566,0.0013566
85,1201.42,1.62138,2.09673,1.82193,0.54438,0.64315,0.60794,0.32753,1.32571,1.26434,1.8938,0.0013368,0.0013368,0.0013368
86,1215.46,1.64596,2.00678,1.79564,0.85248,0.498,0.68136,0.33753,1.34047,1.16097,1.9198,0.001317,0.001317,0.001317
87,1229.54,1.61079,1.83121,1.74829,0.82498,0.52992,0.72696,0.34312,1.37568,1.15616,1.89514,0.0012972,0.0012972,0.0012972
88,1243.59,1.61471,2.05302,1.80569,0.63754,0.63194,0.62578,0.32842,1.35087,1.10196,1.88047,0.0012774,0.0012774,0.0012774
89,1257.78,1.52871,1.85595,1.70977,0.61198,0.68056,0.61844,0.30823,1.31011,1.16271,1.8883,0.0012576,0.0012576,0.0012576
90,1271.94,1.64408,2.06407,1.81533,0.54779,0.75,0.59269,0.29377,1.34658,1.31179,1.91438,0.0012378,0.0012378,0.0012378
91,1286.45,1.58213,1.93465,1.77792,0.61776,0.66667,0.63161,0.30643,1.31522,1.23169,1.87423,0.001218,0.001218,0.001218
92,1300.5,1.63774,2.00791,1.82423,0.57065,0.70214,0.65162,0.30542,1.44769,1.23975,1.9319,0.0011982,0.0011982,0.0011982
93,1314.61,1.6197,1.86686,1.80434,0.67156,0.69444,0.67029,0.32723,1.2965,1.16843,1.86432,0.0011784,0.0011784,0.0011784
94,1328.61,1.5759,1.83181,1.76861,0.64487,0.66819,0.71825,0.3535,1.34297,1.15556,1.87096,0.0011586,0.0011586,0.0011586
95,1342.18,1.61819,1.92275,1.78582,0.79928,0.64437,0.70046,0.35158,1.28182,1.15959,1.85468,0.0011388,0.0011388,0.0011388
96,1355.78,1.54691,1.86965,1.75279,0.62177,0.72917,0.6435,0.31524,1.29575,1.20916,1.85973,0.001119,0.001119,0.001119
97,1369.36,1.53092,1.79875,1.76072,0.68853,0.57516,0.67252,0.34054,1.33579,1.1635,1.85229,0.0010992,0.0010992,0.0010992
98,1383.04,1.5202,1.84432,1.75052,0.72317,0.56944,0.67845,0.3564,1.28287,1.14212,1.82543,0.0010794,0.0010794,0.0010794
99,1396.58,1.509,1.80248,1.73168,0.70255,0.67799,0.70599,0.34669,1.2898,1.11466,1.83416,0.0010596,0.0010596,0.0010596
100,1410.14,1.57323,1.90942,1.74872,0.59383,0.70833,0.66978,0.3549,1.25054,1.07573,1.79598,0.0010398,0.0010398,0.0010398
101,1423.83,1.52984,1.93248,1.70235,0.66991,0.60478,0.69745,0.3473,1.31624,1.10672,1.83506,0.00102,0.00102,0.00102
102,1437.47,1.60952,1.98272,1.80575,0.6851,0.61462,0.72788,0.36745,1.25785,1.21337,1.7941,0.0010002,0.0010002,0.0010002
103,1451.24,1.62373,1.7985,1.86906,0.66705,0.68056,0.73918,0.38012,1.2241,1.04761,1.77372,0.0009804,0.0009804,0.0009804
104,1465.03,1.46799,1.74015,1.70625,0.68452,0.69718,0.66187,0.36719,1.21425,1.06913,1.77018,0.0009606,0.0009606,0.0009606
105,1478.63,1.52494,1.90073,1.76971,0.7001,0.60311,0.68127,0.36231,1.23467,1.14251,1.79478,0.0009408,0.0009408,0.0009408
106,1492.21,1.51049,1.7087,1.76189,0.74726,0.63194,0.78767,0.36616,1.21528,1.11257,1.77947,0.000921,0.000921,0.000921
107,1505.9,1.42866,1.64793,1.66622,0.87891,0.63094,0.75509,0.38705,1.21223,1.06056,1.7739,0.0009012,0.0009012,0.0009012
108,1519.65,1.47316,1.68712,1.69458,0.79939,0.70838,0.74866,0.38487,1.18442,0.99102,1.74448,0.0008814,0.0008814,0.0008814
109,1533.24,1.50884,1.67421,1.71869,0.84594,0.63752,0.75243,0.36325,1.26117,1.03212,1.80358,0.0008616,0.0008616,0.0008616
110,1546.82,1.53846,1.84181,1.80046,0.69724,0.57639,0.68115,0.35637,1.21914,1.10115,1.77297,0.0008418,0.0008418,0.0008418
111,1560.38,1.50313,1.85547,1.784,0.61768,0.70833,0.67123,0.38182,1.21001,1.0295,1.75134,0.000822,0.000822,0.000822
112,1573.99,1.51254,1.67914,1.69358,0.64488,0.62608,0.64563,0.34697,1.21802,1.19236,1.75533,0.0008022,0.0008022,0.0008022
113,1587.56,1.5046,1.7907,1.73987,0.65701,0.53977,0.60024,0.3283,1.28826,1.20901,1.7947,0.0007824,0.0007824,0.0007824
114,1601.26,1.48125,1.71329,1.74101,0.68277,0.61916,0.71171,0.37866,1.20942,1.05984,1.75721,0.0007626,0.0007626,0.0007626
115,1614.8,1.45068,1.65111,1.71283,0.78449,0.69042,0.72875,0.37411,1.2019,1.07614,1.74945,0.0007428,0.0007428,0.0007428
116,1628.45,1.42627,1.65207,1.66544,0.92359,0.70833,0.80407,0.41775,1.1582,0.97852,1.7354,0.000723,0.000723,0.000723
117,1642.29,1.52589,1.83746,1.7098,0.71581,0.66141,0.80632,0.43347,1.1669,0.99983,1.75093,0.0007032,0.0007032,0.0007032
118,1656.04,1.40962,1.56922,1.6613,0.68972,0.66667,0.7535,0.40624,1.13691,1.01448,1.70895,0.0006834,0.0006834,0.0006834
119,1669.56,1.46323,1.61146,1.68041,0.69287,0.69444,0.77692,0.41348,1.18711,0.97188,1.72788,0.0006636,0.0006636,0.0006636
120,1683.14,1.48838,1.71514,1.68751,0.7251,0.83971,0.81456,0.42323,1.18688,0.92675,1.74651,0.0006438,0.0006438,0.0006438
121,1696.73,1.52945,1.73137,1.75594,0.75853,0.75694,0.77555,0.42375,1.26643,0.95284,1.79214,0.000624,0.000624,0.000624
122,1710.39,1.45842,1.65426,1.68046,0.73266,0.83333,0.7734,0.41404,1.19714,0.9224,1.73966,0.0006042,0.0006042,0.0006042
123,1723.94,1.50173,1.6881,1.72107,0.73774,0.84722,0.76666,0.41825,1.19021,0.92208,1.72757,0.0005844,0.0005844,0.0005844
124,1737.52,1.41933,1.54592,1.63594,0.69459,0.82283,0.8046,0.42119,1.13888,0.91135,1.72103,0.0005646,0.0005646,0.0005646
125,1751.08,1.38872,1.54686,1.6514,0.6896,0.7331,0.76181,0.42487,1.17525,0.99004,1.75214,0.0005448,0.0005448,0.0005448
126,1764.74,1.49146,1.5877,1.69058,0.74319,0.81902,0.82665,0.4295,1.15746,0.9976,1.72827,0.000525,0.000525,0.000525
127,1778.33,1.40073,1.56489,1.6911,0.7214,0.89583,0.79122,0.44658,1.13073,0.96478,1.71735,0.0005052,0.0005052,0.0005052
128,1792.11,1.38314,1.55842,1.64476,0.73241,0.85787,0.85344,0.46775,1.12965,0.92657,1.70658,0.0004854,0.0004854,0.0004854
129,1805.87,1.42148,1.68555,1.6332,0.8044,0.84722,0.88233,0.4783,1.13926,0.91287,1.71179,0.0004656,0.0004656,0.0004656
130,1819.65,1.46475,1.63932,1.71635,0.79236,0.90972,0.90222,0.46584,1.11311,0.90568,1.68797,0.0004458,0.0004458,0.0004458
131,1833.27,1.36225,1.49309,1.61742,0.8687,0.89193,0.9093,0.46859,1.10738,0.89117,1.66825,0.000426,0.000426,0.000426
132,1846.83,1.42499,1.63783,1.7148,0.88986,0.8868,0.90526,0.46787,1.1004,0.87904,1.67852,0.0004062,0.0004062,0.0004062
133,1860.48,1.37556,1.54149,1.62878,0.80034,0.86224,0.88453,0.48286,1.0961,0.87461,1.67235,0.0003864,0.0003864,0.0003864
134,1874.24,1.48202,1.7374,1.66168,0.79719,0.92097,0.86381,0.46661,1.16676,0.93382,1.70471,0.0003666,0.0003666,0.0003666
135,1887.83,1.40102,1.49136,1.66573,0.80731,0.90972,0.86643,0.46657,1.12111,0.88888,1.68613,0.0003468,0.0003468,0.0003468
136,1901.45,1.44682,1.63512,1.68181,0.81591,0.84722,0.86897,0.45337,1.08697,0.87069,1.6674,0.000327,0.000327,0.000327
137,1915.06,1.35332,1.49427,1.60794,0.84029,0.83333,0.85724,0.45938,1.07618,0.87959,1.64911,0.0003072,0.0003072,0.0003072
138,1928.73,1.41496,1.54748,1.68169,0.80333,0.86322,0.86764,0.48661,1.09572,0.88329,1.65956,0.0002874,0.0002874,0.0002874
139,1942.57,1.41704,1.66899,1.6719,0.77901,0.84057,0.85603,0.49169,1.10261,0.87374,1.65766,0.0002676,0.0002676,0.0002676
140,1956.42,1.37052,1.5005,1.62193,0.81741,0.91489,0.89091,0.50223,1.09004,0.84543,1.65389,0.0002478,0.0002478,0.0002478
141,1977.3,1.32838,1.37335,1.69279,0.92108,0.69414,0.83295,0.50096,1.12417,0.86772,1.64896,0.000228,0.000228,0.000228
142,1990.98,1.30235,1.30444,1.6924,0.8063,0.84722,0.86633,0.52298,1.10656,0.90031,1.6396,0.0002082,0.0002082,0.0002082
143,2004.8,1.29073,1.26152,1.72299,0.82639,0.78834,0.8647,0.51814,1.08334,0.86033,1.6275,0.0001884,0.0001884,0.0001884
144,2018.42,1.27738,1.28327,1.66914,0.97073,0.69148,0.84876,0.49634,1.0987,0.85655,1.63568,0.0001686,0.0001686,0.0001686
145,2032.04,1.27892,1.34349,1.67995,0.95589,0.69444,0.85671,0.49271,1.11763,0.857,1.65127,0.0001488,0.0001488,0.0001488
146,2046.51,1.29371,1.25557,1.67549,0.92186,0.84722,0.91561,0.51253,1.08899,0.82457,1.63705,0.000129,0.000129,0.000129
147,2062.42,1.24851,1.27137,1.65581,0.94794,0.89132,0.93549,0.5231,1.06643,0.81902,1.62637,0.0001092,0.0001092,0.0001092
148,2077.23,1.24438,1.23935,1.64287,0.91951,0.83333,0.91423,0.53044,1.06999,0.81935,1.6207,8.94e-05,8.94e-05,8.94e-05
149,2092.04,1.22205,1.16476,1.63329,0.89624,0.82318,0.90982,0.53436,1.08207,0.81173,1.6183,6.96e-05,6.96e-05,6.96e-05
150,2105.91,1.20626,1.19827,1.61298,0.88282,0.82445,0.91592,0.54239,1.07437,0.81834,1.6161,4.98e-05,4.98e-05,4.98e-05
