epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1881.61,1.52773,2.30346,1.72083,0.88069,0.35464,0.44708,0.23875,1.59534,1.86642,2.08517,0.0021882,0.0021882,0.0021882
43,1925.83,1.52862,2.2401,1.67832,0.37848,0.53847,0.38611,0.19356,1.53259,1.86831,2.05783,0.0021684,0.0021684,0.0021684
44,1971.19,1.55917,2.291,1.72519,0.81911,0.34311,0.39503,0.19304,1.52561,1.76437,2.0918,0.0021486,0.0021486,0.0021486
45,2017.67,1.61334,2.36085,1.74592,0.83536,0.34722,0.37013,0.19408,1.55574,1.87289,2.07517,0.0021288,0.0021288,0.0021288
46,2064.96,1.60183,2.33921,1.7301,0.24735,0.34722,0.36273,0.18452,1.55778,1.91786,2.10984,0.002109,0.002109,0.002109
47,2112.59,1.50618,2.3705,1.7093,0.91942,0.30556,0.47952,0.24071,1.56124,1.60569,2.08609,0.0020892,0.0020892,0.0020892
48,2160.86,1.5935,2.40055,1.72991,0.45588,0.5,0.37715,0.17739,1.68379,2.22901,2.17928,0.0020694,0.0020694,0.0020694
49,2214.55,1.56432,2.3712,1.76671,0.32941,0.51389,0.40782,0.20858,1.53163,1.68253,2.06741,0.0020496,0.0020496,0.0020496
50,2261.12,1.60825,2.35823,1.78345,0.30334,0.50584,0.43238,0.2031,1.59096,1.84876,2.08642,0.0020298,0.0020298,0.0020298
51,2304.78,1.55193,2.44266,1.6873,0.31201,0.36806,0.38082,0.19879,1.57669,1.95743,2.07876,0.00201,0.00201,0.00201
52,2350.48,1.47711,2.18171,1.65288,0.39549,0.65972,0.47296,0.23245,1.56461,1.75294,2.06198,0.0019902,0.0019902,0.0019902
53,2393.35,1.50915,2.12491,1.70139,0.42867,0.59795,0.5081,0.24591,1.54632,1.7225,2.04801,0.0019704,0.0019704,0.0019704
54,2437.61,1.54013,2.16476,1.72515,0.40542,0.55403,0.45316,0.22948,1.59362,1.73788,2.06596,0.0019506,0.0019506,0.0019506
55,2482.16,1.51492,2.25747,1.6986,0.3592,0.38823,0.4363,0.2301,1.54316,1.67772,2.03006,0.0019308,0.0019308,0.0019308
56,2527.33,1.54319,2.09568,1.72956,0.46454,0.40278,0.42216,0.20507,1.59039,2.01978,2.06829,0.001911,0.001911,0.001911
57,2570.57,1.53255,2.23567,1.68138,0.45079,0.30932,0.37643,0.19366,1.61169,2.30099,2.10118,0.0018912,0.0018912,0.0018912
58,2613.4,1.47558,2.3066,1.67739,0.40206,0.5,0.49977,0.24974,1.56239,1.61895,2.07178,0.0018714,0.0018714,0.0018714
59,2655.83,1.39349,2.06946,1.5835,0.47092,0.25694,0.39936,0.21476,1.53283,2.21851,2.0512,0.0018516,0.0018516,0.0018516
60,2698.5,1.44869,2.11345,1.62145,0.32418,0.54167,0.42288,0.21357,1.61865,1.61768,2.10974,0.0018318,0.0018318,0.0018318
